"""avaliacao_mensagem"""
"""Produto entrega o que promete"""
"""Bom , produto tudo ok é original…só demorou um pouco a entrega"""
"""Produto de primeira linha porém pelo valor não ter carregador incluso é absurdo."""
"""O cel é maravilhoso!! Pedido chegou antes do prazo."""
"""Produto excelente com ótima câmera e bateria. Única coisa ruim é a falta da fonte do carregador, a empresa força a gastar mais 250 com “acessório” que deveria vir de fábrica pelo valor alto do produto."""
"""O cel é maravilhoso!! Pedido chegou antes do prazo."""
"""Produto excelente com ótima câmera e bateria. Única coisa ruim é a falta da fonte do carregador, a empresa força a gastar mais 250 com “acessório” que deveria vir de fábrica pelo valor alto do produto."""
"""Celular muito bom. Atende as expectativa anunciadas."""
"""TOP"""
"""iPhone é iPhone """
"""Produto fantástico."""
"""Excelente e dentro das expectativas."""
"""Bateria não é tão boa, porém a câmera é maravilhosa"""
"""Como eu esperava, mas sem carregador"""
"""Valeu a pena a compra! Ótimo produto """
"""Produto de qualidade. Só o preço que é um pouco salgado, mas é apple ne. Compreensível."""
"""Produto ótimo.. uma vergonha não vir com carregador """
"""Telefone muito bom! Ainda estou aprendendo a usar. A bateria eu achei fraca. A Câmera é excelente."""
"""O celular muito lindo e camera maravilhosa, a unica coisa que pecou não ter entrada para fone de ouvidor e vim com carregador."""
"""Ótimo produto ! Perfeito!"""
"""Foi tudo perfeito"""
"""Excelente produto recomendo a todos. """
"""Produto excelente, porém a Apple deixou a desejar tirando a fonte do carregador."""
"""Produto de acordo com a expectativa."""
"""Excelente"""
"""Produto excelente, porém a Apple deixou a desejar tirando a fonte do carregador."""
"""Ótimo celular. A parte ruim é o fato de não vim a fonte carregador e fones de ouvido"""
"""Produto péssimo sem carregador"""
"""Celular lindissímo e com alta velocidade em tudo. O único ponto decepcionante de fato, é não vir com carregador e fones de ouvido :/ mas o aparelho em si é incrícel e muito elegante."""
"""Só não avaliei 5 pq não veio carregador e fone"""
"""Boa tarde, gostei de tudo, inclusive me imprecionou a agilidade e quanto ao celular está funcionando bem e é um excelente produto"""
"""Ótimo produto, exatamente o que eu esperava. Chegou no prazo certinho!!! """
"""Como sempre, maravilhoso, não troco meu iPhone por nada, já uso há mais de 6 anos e amo o iOS. Único problema é que só vem o cabo, tem que comprar os demais acessórios a parte. Do resto tudo maravilhoso, câmera, face id, etc"""
"""Amei o produto, chegou dentro do prazo previsto e com as mesmas características informadas no site."""
"""Chegou no prazo! Celular excelente.. Só acho muito caro, tinha um 7 plus e não vi tanta diferença pro 11. """
"""O telefone é PERFEITO, contudo a falta de acessório (carregador e fone) não se faz justa, haja vista o preço elevado do produto. """
"""Bom, esperava mais bem foto da Lua não consegur tirar 100%, noturna boa """
"""Celular atendeu todas expectativas, super recomendo.. """
"""Bateria tem ótima duração."""
"""Produto excelente com ótima câmera e bateria. Única coisa ruim é a falta da fonte do carregador, a empresa força a gastar mais 250 com “acessório” que deveria vir de fábrica pelo valor alto do produto."""
"""Bateria melhor que a do XR, a câmera atendeu minhas expectativas e o design também. Estou muito satisfeita"""
"""celular muito bom, apenas deveria vir carregador junto. """
"""Tive a sorte de meu aparelho vir com defeito nas câmeras, fiz a troca e ainda estou aguardando o novo produto. O prazo eram 6 dias para troca..."""
"""Deveria vir com o carregador junto"""
"""Produto ok, mas deveria acompanhar fones e carregador"""
"""O celular não tem a qualidade de câmera noturna que eu esperava"""
"""Trava muito"""
"""Produto superfaturado e sem acessórios"""
"""Prefiro xaiomi"""
"""Sensor não funciona direito"""
"""Deveria acompanhar o carregador"""
"""Fone de ouvido péssimo"""
"""Sem carregador e fone de ouvido"""
"""Deveria melhorar a qualidade do sensor de digital"""
"""A câmera  poderia melhorar"""
"""Preço muito alto pelo produto"""
"""Não vale o preço"""
"""Carregador caro e não vem no produto"""
"""Apple é uma exploração"""
